group,color_name,hex,R,G,B,close_skin,close_greybg,potential_exclude
brown,RosyBrown,#BC8F8F,188,143,143,0,0,0
orange,SandyBrown,#F4A460,244,164,96,0,0,0
brown,Goldenrod,#DAA520,218,165,32,0,0,0
brown,DarkGoldenrod,#B8860B,184,134,11,0,0,0
brown,Peru,#CD853F,205,133,63,0,0,0
brown,Chocolate,#D2691E,210,105,30,0,0,0
brown,SaddleBrown,#8B4513,139,69,19,0,0,0
brown,Sienna,#A0522D,160,82,45,0,0,0
brown,Brown,#A52A2A,165,42,42,0,0,0
red,Maroon,#800000,128,0,0,0,0,0
white,White,#FFFFFF,255,255,255,0,0,0
white,Snow,#FFFAFA,255,250,250,0,0,0
white,HoneyDew,#F0FFF0,240,255,240,0,0,0
white,MintCream,#F5FFFA,245,255,250,0,0,0
white,Azure,#F0FFFF,240,255,255,0,0,0
white,AliceBlue,#F0F8FF,240,248,255,0,0,0
white,GhostWhite,#F8F8FF,248,248,255,0,0,0
white,WhiteSmoke,#F5F5F5,245,245,245,0,0,0
white,SeaShell,#FFF5EE,255,245,238,0,0,0
white,Beige,#F5F5DC,245,245,220,0,0,0
white,OldLace,#FDF5E6,253,245,230,0,0,0
white,FloralWhite,#FFFAF0,255,250,240,0,0,0
white,Ivory,#FFFFF0,255,255,240,0,0,0
white,AntiqueWhite,#FAEBD7,250,235,215,0,0,0
white,Linen,#FAF0E6,250,240,230,0,0,0
pink,LavenderBlush,#FFF0F5,255,240,245,0,0,0
pink,MistyRose,#FFE4E1,255,228,225,0,0,0
gray,Gainsboro,#DCDCDC,220,220,220,0,1,1
gray,LightGray,#D3D3D3,211,211,211,0,1,1
gray,Silver,#C0C0C0,192,192,192,0,1,1
gray,DarkGray,#A9A9A9,169,169,169,0,1,1
gray,Gray,#808080,128,128,128,0,1,1
gray,DimGray,#696969,105,105,105,0,0,0
gray,LightSlateGray,#778899,119,136,153,0,0,0
gray,SlateGray,#708090,112,128,144,0,0,0
gray,DarkSlateGray,#2F4F4F,47,79,79,0,0,0
gray,Black,#000000,0,0,0,0,0,0
